type,id,lat,lng
stop,tarumizu_hp,31.490159,130.694651
point,1,31.493643,130.697800
stop,tarumizu,31.493524,130.698141
point,2,31.492235,130.701529
point,3,31.483116,130.695789
point,4,31.482536,130.692773
point,5,31.484144,130.692657
stop,tarumizu_port,31.484379,130.691933
point,6,31.484144,130.692657
point,7,31.482536,130.692773
point,8,31.483116,130.695789
stop,minatohira,31.482437,130.695787
point,shin1,31.471815,130.697219
point,shin2,31.461371,130.703026
point,shin3,31.458818,130.706341
point,shin4,31.454886,130.724357
stop,miyawaki,31.453079,130.727626
point,shin5,31.449383,130.733917
point,shin6,31.443892,130.737535
point,shin7,31.442364,130.739220
point,shin8,31.437540,130.744806
point,shin9,31.430622,130.751038
stop,shinjo,31.428793,130.754004
point,shin10,31.427349,130.756075
point,shin11,31.425426,130.756708
point,shin12,31.423531,130.758875
point,shin13,31.422075,130.759208
point,shin14,31.419512,130.758532
point,shin15,31.413238,130.761027
point,shin16,31.412315,130.761034
point,shin17,31.407011,130.766477
stop,furue,31.404687,130.768865
point,9,31.401295,130.771485
point,10,31.402069,130.772173
point,11,31.399748,130.774822
point,12,31.399475,130.773893
point,shin18,31.397969,130.773777
point,13,31.393725,130.777493
point,shin19,31.397196,130.779629
stop,taiikudai,31.396967,130.790093
point,shin20,31.396842,130.791633
point,shin21,31.395881,130.793510
point,shin22,31.395881,130.793510
point,shin23,31.387588,130.803727
point,shin24,31.386579,130.804267
point,shin25,31.385869,130.805812
point,shin26,31.385799,130.807425
point,shin27,31.383912,130.808915
point,shin28,31.382209,130.811456
point,shin29,31.380592,130.812996
point,shin30,31.380082,130.821851
stop,kokutai,31.383189,130.833421
point,14,31.383485,130.834733
stop,joshiko,31.385247,130.837474
point,15,31.387616,130.841073
point,16,31.387668,130.844085
point,17,31.388262,130.845933
point,18,31.389052,130.846857
point,19,31.388189,130.849964
point,20,31.389648,130.850489
point,21,31.390082,130.850827
point,22,31.390422,130.850269
point,23,31.389946,130.849902
point,24,31.389648,130.850489
stop,kanoya,31.388796,130.850184
point,25,31.388189,130.849964
point,shin_star_1,31.387664,130.849863
point,shin31,31.386410,130.850139
point,shin32,31.385573,130.850715
point,shin33,31.384776,130.851452
point,shin34,31.382442,130.852595
point,shin35,31.379550,130.852864
stop,shiyakusho,31.377970,130.853541
point,26,31.377515,130.853705
point,27,31.377991,130.855636
point,28,31.382867,130.854204
point,shin_star_2,31.384364,130.853151
point,29,31.386116,130.852946
point,30,31.386774,130.855225
stop,kotobuki,31.386092,130.859959
stop,higashikasanohara,31.388443,130.894665
point,31,31.390540,130.908532
point,32,31.393634,130.911642
point,33,31.394207,130.939593
point,34,31.395099,130.941972
stop,kushira_shogyo,31.393151,130.949048
stop,kushira,31.390436,130.958051
stop,higashikushira,31.392449,130.964758
point,35,31.393444,130.966460
point,36,31.395977,130.965899
point,37,31.418260,131.000648
point,38,31.424357,131.003523
stop,osaki,31.425655,131.006603
point,39,31.426336,131.010797
point,40,31.439080,131.030455
point,41,31.438330,131.031011
stop,asuparu,31.438018,131.030553
point,42,31.438330,131.031011
point,43,31.439080,131.030455
point,44,31.445038,131.044358
point,45,31.444955,131.047801
point,46,31.449652,131.055638
stop,oshigiri,31.454034,131.059900
point,47,31.463941,131.072902
point,48,31.467846,131.084385
stop,chigomatsu,31.467846,131.084385
stop,shibushi_hs,31.469702,131.087679
point,49,31.472756,131.093110
stop,shibushi_eki_ue,31.473732,131.096056
point,50,31.473974,131.096821
stop,shibushi_eki_mae,31.472627,131.097853
point,51,31.473974,131.096821
stop,shibushi,31.475095,131.099914
point,52,31.477696,131.107742
point,53,31.477127,131.108532
stop,shibushi_port_ent,31.475628,131.108188
point,54,31.475338,131.106921
point,55,31.469694,131.101716
point,56,31.469992,131.097301
point,57,31.467137,131.093834
point,58,31.462101,131.095827
stop,shibushi_port,31.461058,131.097941
