trip_id,day_type,stop_id,time
鹿屋(11:55)→内之浦,daily,kanoya,11:55:00
鹿屋(11:55)→内之浦,daily,shiyakusho,11:59:00
鹿屋(11:55)→内之浦,daily,hirabaru,12:07:00
鹿屋(11:55)→内之浦,daily,kawanishi,12:11:00
鹿屋(11:55)→内之浦,daily,myoshu,12:16:00
鹿屋(11:55)→内之浦,daily,aira,12:21:00
鹿屋(11:55)→内之浦,daily,sakashita,12:30:00
鹿屋(11:55)→内之浦,daily,koyama,12:31:00
鹿屋(11:55)→内之浦,daily,ariakebashi,12:43:00
鹿屋(11:55)→内之浦,daily,kaizo,13:01:00
鹿屋(11:55)→内之浦,daily,uchinoura,13:14:00
内之浦(06:40)→鹿屋,daily,uchinoura,06:40:00
内之浦(06:40)→鹿屋,daily,kaizo,06:53:00
内之浦(06:40)→鹿屋,daily,ariakebashi,07:11:00
内之浦(06:40)→鹿屋,daily,koyama,07:22:00
内之浦(06:40)→鹿屋,daily,sakashita,07:24:00
内之浦(06:40)→鹿屋,daily,aira,07:33:00
内之浦(06:40)→鹿屋,daily,myoshu,07:38:00
内之浦(06:40)→鹿屋,daily,kawanishi,07:43:00
内之浦(06:40)→鹿屋,daily,hirabaru,07:47:00
内之浦(06:40)→鹿屋,daily,shiyakusho,07:55:00
内之浦(06:40)→鹿屋,daily,kanoya,08:01:00
