segment_id,lat,lng
shinjo_to_furue,31.405328,130.768282
shinjo_to_furue,31.404682,130.768848
shinjo_to_furue,31.404679,130.768852
miyawaki_to_shinjo,31.453048,130.727608
miyawaki_to_shinjo,31.450557,130.732478
miyawaki_to_shinjo,31.447491,130.735713
miyawaki_to_shinjo,31.443793,130.737623
miyawaki_to_shinjo,31.443065,130.738404
miyawaki_to_shinjo,31.439019,130.742541
miyawaki_to_shinjo,31.437629,130.744736
miyawaki_to_shinjo,31.430270,130.751463
miyawaki_to_shinjo,31.428761,130.753951
miyawaki_to_shinjo,31.428754,130.753973
minatohira_to_miyawaki,31.482435,130.695758
minatohira_to_miyawaki,31.479460,130.696520
minatohira_to_miyawaki,31.471773,130.697206
minatohira_to_miyawaki,31.461493,130.702949
minatohira_to_miyawaki,31.458950,130.706061
minatohira_to_miyawaki,31.458294,130.709216
minatohira_to_miyawaki,31.456907,130.717803
minatohira_to_miyawaki,31.454624,130.725008
minatohira_to_miyawaki,31.454239,130.725588
minatohira_to_miyawaki,31.453622,130.726352
minatohira_to_miyawaki,31.453048,130.727608
tarumizu_port_to_minatohira,31.484401,130.691989
tarumizu_port_to_minatohira,31.484487,130.691970
tarumizu_port_to_minatohira,31.484570,130.691990
tarumizu_port_to_minatohira,31.484615,130.692076
tarumizu_port_to_minatohira,31.484630,130.692496
tarumizu_port_to_minatohira,31.484614,130.692598
tarumizu_port_to_minatohira,31.484557,130.692673
tarumizu_port_to_minatohira,31.482676,130.692738
tarumizu_port_to_minatohira,31.482611,130.692768
tarumizu_port_to_minatohira,31.483115,130.695652
tarumizu_port_to_minatohira,31.483151,130.695749
tarumizu_port_to_minatohira,31.483099,130.695772
tarumizu_port_to_minatohira,31.482435,130.695758
chigomatsu_to_shibushi_hs,31.467824,131.084430
chigomatsu_to_shibushi_hs,31.469663,131.087710
oshigiri_to_chigomatsu,31.453996,131.059931
oshigiri_to_chigomatsu,31.464209,131.073355
oshigiri_to_chigomatsu,31.465580,131.077019
oshigiri_to_chigomatsu,31.466574,131.081718
oshigiri_to_chigomatsu,31.467510,131.083759
oshigiri_to_chigomatsu,31.467531,131.083862
oshigiri_to_chigomatsu,31.467814,131.084401
higashikushira_to_oshigiri,31.425598,131.006627
higashikushira_to_oshigiri,31.426319,131.010742
higashikushira_to_oshigiri,31.428624,131.014365
higashikushira_to_oshigiri,31.430161,131.015442
higashikushira_to_oshigiri,31.434380,131.020617
higashikushira_to_oshigiri,31.443012,131.038597
higashikushira_to_oshigiri,31.445133,131.044848
higashikushira_to_oshigiri,31.444972,131.047675
higashikushira_to_oshigiri,31.445132,131.048387
higashikushira_to_oshigiri,31.445427,131.048913
higashikushira_to_oshigiri,31.447352,131.051269
higashikushira_to_oshigiri,31.449544,131.055497
higashikushira_to_oshigiri,31.452914,131.058281
higashikushira_to_oshigiri,31.453996,131.059931
asuparu_to_oshigiri,31.438021,131.030577
asuparu_to_oshigiri,31.438098,131.030600
asuparu_to_oshigiri,31.438140,131.030669
asuparu_to_oshigiri,31.438124,131.030766
asuparu_to_oshigiri,31.438259,131.030999
asuparu_to_oshigiri,31.438313,131.031059
asuparu_to_oshigiri,31.439066,131.030486
asuparu_to_oshigiri,31.439120,131.030535
asuparu_to_oshigiri,31.443009,131.038587
asuparu_to_oshigiri,31.445130,131.044838
asuparu_to_oshigiri,31.444971,131.047665
asuparu_to_oshigiri,31.445129,131.048377
asuparu_to_oshigiri,31.445420,131.048905
asuparu_to_oshigiri,31.447347,131.051260
asuparu_to_oshigiri,31.449597,131.055569
asuparu_to_oshigiri,31.452908,131.058273
asuparu_to_oshigiri,31.453996,131.059931
osaki_to_asuparu,31.425598,131.006627
osaki_to_asuparu,31.426319,131.010742
osaki_to_asuparu,31.428624,131.014365
osaki_to_asuparu,31.430161,131.015442
osaki_to_asuparu,31.434380,131.020617
osaki_to_asuparu,31.439081,131.030451
osaki_to_asuparu,31.439028,131.030512
osaki_to_asuparu,31.438350,131.031027
osaki_to_asuparu,31.438284,131.031044
osaki_to_asuparu,31.438134,131.030804
osaki_to_asuparu,31.438010,131.030830
osaki_to_asuparu,31.437950,131.030776
osaki_to_asuparu,31.437930,131.030694
osaki_to_asuparu,31.437955,131.030615
osaki_to_asuparu,31.438021,131.030577
higashikushira_to_osaki,31.390405,130.958069
higashikushira_to_osaki,31.390939,130.961477
higashikushira_to_osaki,31.393246,130.966352
higashikushira_to_osaki,31.393316,130.966417
higashikushira_to_osaki,31.393355,130.966441
higashikushira_to_osaki,31.393482,130.966490
higashikushira_to_osaki,31.393661,130.966492
higashikushira_to_osaki,31.395384,130.965915
higashikushira_to_osaki,31.395742,130.965939
higashikushira_to_osaki,31.396164,130.966116
higashikushira_to_osaki,31.396588,130.966501
higashikushira_to_osaki,31.397681,130.967899
higashikushira_to_osaki,31.397825,130.968025
higashikushira_to_osaki,31.397908,130.968060
higashikushira_to_osaki,31.397972,130.968109
higashikushira_to_osaki,31.417282,130.998727
higashikushira_to_osaki,31.418272,131.000606
higashikushira_to_osaki,31.418976,131.001256
higashikushira_to_osaki,31.424102,131.003518
higashikushira_to_osaki,31.424386,131.003775
higashikushira_to_osaki,31.425289,131.005589
higashikushira_to_osaki,31.425598,131.006627
kushira_to_higashikushira,31.390405,130.958069
kushira_to_higashikushira,31.390939,130.961477
kushira_to_higashikushira,31.392440,130.964764
kushira_shogyo_to_kushira,31.393133,130.949060
kushira_shogyo_to_kushira,31.391927,130.952800
kushira_shogyo_to_kushira,31.391893,130.953323
kushira_shogyo_to_kushira,31.391771,130.953602
kushira_shogyo_to_kushira,31.391702,130.953668
kushira_shogyo_to_kushira,31.391536,130.953743
kushira_shogyo_to_kushira,31.391391,130.953866
kushira_shogyo_to_kushira,31.390967,130.954790
kushira_shogyo_to_kushira,31.390943,130.954997
kushira_shogyo_to_kushira,31.390944,130.955206
kushira_shogyo_to_kushira,31.390909,130.955302
kushira_shogyo_to_kushira,31.390850,130.955381
kushira_shogyo_to_kushira,31.390408,130.955736
